dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003543,4.000000,0.003704,0.148148,2.962963,59.259259,0.000005
0.050000,0.014654,4.000000,0.014815,0.296296,2.962963,0.000000,0.000023
0.050000,0.033173,4.000001,0.033333,0.444444,2.962963,0.000000,0.000052
0.050000,0.059099,4.000003,0.059259,0.592593,2.962963,0.000000,0.000093
0.050000,0.092432,4.000007,0.092593,0.740741,2.962963,0.000000,0.000147
0.050000,0.133173,4.000014,0.133333,0.888889,2.962963,0.000000,0.000215
0.050000,0.181321,4.000026,0.181481,1.037037,2.962963,0.000000,0.000298
0.050000,0.236876,4.000046,0.237037,1.185185,2.962963,0.000000,0.000397
0.050000,0.299839,4.000074,0.300000,1.333333,2.962963,0.000000,0.000514
0.050000,0.370210,4.000115,0.370370,1.481481,2.962963,0.000000,0.000650
0.050000,0.447987,4.000172,0.448148,1.629630,2.962963,0.000000,0.000806
0.050000,0.533173,4.000248,0.533333,1.777778,2.962963,0.000000,0.000986
0.050000,0.625765,4.000349,0.625926,1.925926,2.962963,0.000000,0.001191
0.050000,0.725765,4.000479,0.725926,2.074074,2.962963,0.000000,0.001423
0.050000,0.833172,4.000646,0.833333,2.222222,2.962963,0.000000,0.001686
0.050000,0.947987,4.000857,0.948148,2.370370,2.962963,-0.000000,0.001981
0.050000,1.070209,4.001119,1.070370,2.518519,2.962963,0.000000,0.002313
0.050000,1.199838,4.001443,1.200000,2.666667,2.962963,-0.000000,0.002683
0.050000,1.336875,4.001838,1.337037,2.814815,2.962963,0.000000,0.003096
0.050000,1.481318,4.002318,1.481481,2.962963,2.962963,-0.000000,0.003555
0.050000,1.633169,4.002896,1.633333,3.111111,2.962963,0.000000,0.004063
0.050000,1.792427,4.003588,1.792593,3.259259,2.962963,-0.000000,0.004626
0.050000,1.959091,4.004410,1.959259,3.407407,2.962963,0.000000,0.005246
0.050000,2.133163,4.005382,2.133333,3.555556,2.962963,-0.000000,0.005928
0.050000,2.314641,4.006525,2.314815,3.703704,2.962963,0.000000,0.006676
0.050000,2.503525,4.007863,2.503704,3.851852,2.962963,-0.000000,0.007496
0.050000,2.699815,4.009422,2.700000,4.000000,2.962963,0.000000,0.008392
0.050000,2.899807,4.011195,2.900000,4.000000,0.000000,-59.259259,0.009352
0.050000,3.099797,4.013165,3.100000,4.000000,0.000000,0.000000,0.010357
0.050000,3.299785,4.015341,3.300000,4.000000,0.000000,0.000000,0.011410
0.050000,3.499771,4.017732,3.500000,4.000000,0.000000,0.000000,0.012509
0.050000,3.699754,4.020348,3.700000,4.000000,0.000000,0.000000,0.013655
0.050000,3.899734,4.023198,3.900000,4.000000,0.000000,0.000000,0.014848
0.050000,4.099710,4.026290,4.100000,4.000000,0.000000,0.000000,0.016088
0.050000,4.299682,4.029635,4.300000,4.000000,0.000000,0.000000,0.017374
0.050000,4.499649,4.033243,4.500000,4.000000,0.000000,0.000000,0.018707
0.050000,4.699612,4.037121,4.700000,4.000000,0.000000,0.000000,0.020087
0.050000,4.899568,4.041280,4.900000,4.000000,0.000000,0.000000,0.021514
0.050000,5.099519,4.045729,5.100000,4.000000,0.000000,0.000000,0.022988
0.050000,5.299462,4.050478,5.300000,4.000000,0.000000,0.000000,0.024509
0.050000,5.499398,4.055535,5.500000,4.000000,0.000000,0.000000,0.026076
0.050000,5.699326,4.060910,5.700000,4.000000,0.000000,0.000000,0.027691
