dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003549,2.900000,0.003704,0.148148,2.962963,59.259259,0.000005
0.050000,0.014679,2.900000,0.014834,0.222601,1.489060,-29.478052,0.000023
0.050000,0.033230,2.900001,0.033384,0.371009,2.968156,29.581906,0.000052
0.050000,0.059201,2.900003,0.059356,0.519427,2.968366,0.004203,0.000093
0.050000,0.092594,2.900007,0.092749,0.667860,2.968660,0.005885,0.000147
0.050000,0.133410,2.900014,0.133564,0.816312,2.969038,0.007567,0.000215
0.050000,0.181649,2.900027,0.181804,0.964787,2.969501,0.009249,0.000298
0.050000,0.237313,2.900046,0.237468,1.113290,2.970047,0.010932,0.000397
0.050000,0.300405,2.900075,0.300559,1.261824,2.970678,0.012615,0.000514
0.050000,0.370924,2.900116,0.371079,1.410393,2.971393,0.014298,0.000650
0.050000,0.448874,2.900172,0.449029,1.559003,2.972192,0.015983,0.000806
0.050000,0.534257,2.900249,0.534412,1.707657,2.973076,0.017668,0.000986
0.050000,0.627075,2.900350,0.627230,1.856359,2.974043,0.019354,0.001191
0.050000,0.727331,2.900481,0.727485,2.005113,2.975095,0.021041,0.001423
0.050000,0.835027,2.900648,0.835182,2.153925,2.976232,0.022730,0.001686
0.050000,0.950166,2.900859,0.950322,2.302798,2.977453,0.024421,0.001981
0.050000,1.072753,2.901122,1.072908,2.451736,2.978759,0.026113,0.002313
0.050000,1.202790,2.901446,1.202946,2.600743,2.980149,0.027807,0.002683
0.050000,1.340280,2.901844,1.340437,2.749824,2.981624,0.029504,0.003096
0.050000,1.485229,2.902325,1.485386,2.898984,2.983184,0.031203,0.003555
0.050000,1.637639,2.902906,1.637797,3.048225,2.984830,0.032906,0.004063
0.050000,1.797515,2.903600,1.797675,3.197553,2.986560,0.034611,0.004626
0.050000,1.964862,2.904425,1.965023,3.346972,2.988376,0.036320,0.005246
0.050000,2.139683,2.905401,2.139848,3.496486,2.990278,0.038033,0.005928
0.050000,2.321984,2.906550,2.322153,3.646099,2.992265,0.039749,0.006676
0.050000,2.511770,2.907894,2.511943,3.795816,2.994339,0.041470,0.007496
0.050000,2.709046,2.909460,2.709225,3.945641,2.996498,0.043195,0.008392
0.050000,2.910094,2.911243,2.910281,4.021104,1.509254,-29.744898,0.009352
0.050000,3.111190,2.913224,3.111387,4.022130,0.020532,-29.774433,0.010357
0.050000,3.312336,2.915413,3.312545,4.023157,0.020541,0.000190,0.011410
0.050000,3.513531,2.917818,3.513754,4.024185,0.020551,0.000192,0.012509
0.050000,3.714775,2.920451,3.715015,4.025213,0.020561,0.000192,0.013655
0.050000,3.916066,2.923319,3.916327,4.026241,0.020570,0.000192,0.014848
0.050000,4.117406,2.926433,4.117690,4.027270,0.020580,0.000191,0.016088
0.050000,4.318792,2.929801,4.319105,4.028300,0.020589,0.000189,0.017374
0.050000,4.520226,2.933435,4.520572,4.029330,0.020598,0.000185,0.018707
0.050000,4.721706,2.937343,4.722090,4.030360,0.020607,0.000180,0.020087
0.050000,4.923232,2.941535,4.923659,4.031391,0.020616,0.000174,0.021514
0.050000,5.124803,2.946020,5.125281,4.032422,0.020625,0.000167,0.022988
0.050000,5.326419,2.950808,5.326953,4.033454,0.020632,0.000159,0.024509
