dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003537,5.100000,0.003704,0.148148,2.962963,59.259259,0.000005
0.050000,0.014629,5.100000,0.014796,0.221843,1.473903,-29.781208,0.000023
0.050000,0.033116,5.100001,0.033282,0.369732,2.957770,29.677353,0.000052
0.050000,0.058996,5.100003,0.059163,0.517610,2.957560,-0.004204,0.000093
0.050000,0.092270,5.100007,0.092437,0.665473,2.957266,-0.005885,0.000147
0.050000,0.132936,5.100014,0.133102,0.813317,2.956887,-0.007567,0.000215
0.050000,0.180993,5.100026,0.181159,0.961139,2.956425,-0.009249,0.000298
0.050000,0.236439,5.100046,0.236606,1.108933,2.955878,-0.010932,0.000397
0.050000,0.299274,5.100074,0.299441,1.256695,2.955248,-0.012615,0.000514
0.050000,0.369495,5.100115,0.369662,1.404422,2.954533,-0.014298,0.000650
0.050000,0.447101,5.100172,0.447267,1.552108,2.953734,-0.015983,0.000806
0.050000,0.532088,5.100248,0.532255,1.699751,2.952850,-0.017668,0.000986
0.050000,0.624455,5.100348,0.624622,1.847345,2.951883,-0.019354,0.001191
0.050000,0.724200,5.100478,0.724366,1.994886,2.950830,-0.021042,0.001423
0.050000,0.831318,5.100645,0.831485,2.142371,2.949694,-0.022731,0.001686
0.050000,0.945808,5.100855,0.945975,2.289795,2.948473,-0.024421,0.001981
0.050000,1.067665,5.101116,1.067832,2.437153,2.947167,-0.026113,0.002313
0.050000,1.196887,5.101439,1.197054,2.584442,2.945777,-0.027808,0.002683
0.050000,1.333469,5.101833,1.333637,2.731657,2.944302,-0.029505,0.003096
0.050000,1.477408,5.102311,1.477577,2.878794,2.942741,-0.031204,0.003555
0.050000,1.628699,5.102887,1.628869,3.025849,2.941096,-0.032907,0.004063
0.050000,1.787339,5.103576,1.787510,3.172817,2.939365,-0.034612,0.004626
0.050000,1.953321,5.104395,1.953495,3.319695,2.937549,-0.036322,0.005246
0.050000,2.126642,5.105363,2.126819,3.466477,2.935648,-0.038035,0.005928
0.050000,2.307297,5.106501,2.307477,3.613160,2.933660,-0.039752,0.006676
0.050000,2.495279,5.107832,2.495464,3.759739,2.931586,-0.041473,0.007496
0.050000,2.690583,5.109383,2.690774,3.906211,2.929426,-0.043198,0.008392
0.050000,2.889520,5.111147,2.889719,3.978896,1.453708,-29.514359,0.009352
0.050000,3.088404,5.113106,3.088613,3.977870,-0.020533,-29.484821,0.010357
0.050000,3.287235,5.115270,3.287455,3.976842,-0.020542,-0.000190,0.011410
0.050000,3.486011,5.117646,3.486246,3.975815,-0.020552,-0.000192,0.012509
0.050000,3.684734,5.120245,3.684985,3.974787,-0.020561,-0.000193,0.013655
0.050000,3.883401,5.123076,3.883673,3.973758,-0.020571,-0.000193,0.014848
0.050000,4.082014,5.126148,4.082309,3.972729,-0.020581,-0.000191,0.016088
